datetime,total_demand_kwh,hp_load_kwh,simulated_demand_kwh,simulated_stress_event
2013-02-04 19:30:00,398.762,40.0,438.762,1
2013-01-22 21:00:00,398.479,40.0,438.479,1
2013-01-23 20:30:00,398.335,40.0,438.335,1
2013-02-25 19:30:00,398.295,40.0,438.295,1
2013-03-11 20:00:00,438.219,0.0,438.219,1
2013-01-28 18:00:00,398.149,40.0,438.149,1
2013-02-26 20:00:00,397.954,40.0,437.954,1
2014-01-05 18:00:00,397.943,40.0,437.943,1
2013-01-11 19:00:00,397.893,40.0,437.893,1
2013-02-17 19:30:00,397.831,40.0,437.831,1
2013-01-20 20:00:00,397.784,40.0,437.784,1
2013-01-06 18:00:00,397.594,40.0,437.594,1
2013-02-06 20:00:00,397.387,40.0,437.387,1
2013-01-13 21:00:00,397.163,40.0,437.163,1
2013-02-04 18:30:00,396.81,40.0,436.81,1
2013-03-11 19:00:00,436.664,0.0,436.664,1
2013-01-07 19:00:00,396.507,40.0,436.507,1
2014-01-29 19:00:00,396.345,40.0,436.345,1
2013-03-24 19:00:00,436.343,0.0,436.343,1
2014-01-12 19:00:00,396.284,40.0,436.284,1
2013-03-24 19:30:00,436.213,0.0,436.213,1
2013-03-25 19:30:00,435.857,0.0,435.857,1
2013-02-23 18:00:00,395.781,40.0,435.781,1
2014-01-26 18:30:00,395.73,40.0,435.73,1
2013-02-15 19:00:00,395.722,40.0,435.722,1
2013-01-24 18:00:00,395.633,40.0,435.633,1
2013-02-24 18:00:00,395.253,40.0,435.253,1
2013-02-12 21:00:00,395.121,40.0,435.121,1
2013-01-27 20:00:00,395.055,40.0,435.055,1
2014-01-26 19:30:00,394.564,40.0,434.564,1
2013-02-11 21:00:00,394.49,40.0,434.49,1
2013-02-17 19:00:00,394.466,40.0,434.466,1
2013-01-24 20:30:00,394.443,40.0,434.443,1
2013-01-19 17:00:00,434.335,0.0,434.335,1
2013-01-06 19:30:00,394.296,40.0,434.296,1
2013-01-10 18:00:00,394.279,40.0,434.279,1
2013-02-03 20:00:00,394.009,40.0,434.009,1
2014-02-12 19:00:00,393.83,40.0,433.83,1
2014-01-26 19:00:00,393.682,40.0,433.682,1
2013-02-07 21:00:00,393.654,40.0,433.654,1
2013-02-24 20:30:00,393.512,40.0,433.512,1
2013-02-23 20:00:00,393.291,40.0,433.291,1
2013-02-09 20:00:00,393.223,40.0,433.223,1
2013-01-11 18:00:00,393.103,40.0,433.103,1
2013-01-05 18:30:00,392.521,40.0,432.521,1
2013-02-26 20:30:00,392.486,40.0,432.486,1
2013-12-19 19:30:00,392.415,40.0,432.415,1
2013-12-23 18:30:00,392.386,40.0,432.386,1
2013-02-13 20:00:00,392.368,40.0,432.368,1
2013-02-02 19:00:00,392.28,40.0,432.28,1
2014-01-29 18:30:00,392.103,40.0,432.103,1
2013-01-15 21:00:00,392.091,40.0,432.091,1
2013-01-03 19:00:00,391.905,40.0,431.905,1
2013-02-07 18:00:00,391.5,40.0,431.5,1
2014-01-12 19:30:00,391.412,40.0,431.412,1
2014-01-27 19:30:00,391.406,40.0,431.406,1
2014-01-27 19:00:00,391.254,40.0,431.254,1
2013-01-12 20:00:00,391.211,40.0,431.211,1
2013-01-28 21:00:00,391.188,40.0,431.188,1
2013-12-11 19:00:00,391.149,40.0,431.149,1
